Token,ID,Frequency
enhance,716,10
colleague,717,10
cognitive,718,8
target,719,8
classification,720,2
plus,721,3
scent,722,1
plastic,723,4
discrimination,724,1
straight,725,5
attention,726,27
strengthen,727,8
pay,728,20
correct,729,6
cortical,730,3
structural,731,6
ultimately,732,5
recently,733,13
pick,734,10
johannes,735,1
communicate,736,7
perform,737,11
renewal,738,1
simple,739,23
literal,740,1
odor,741,2
depth,742,7
molecular,743,4
participant,744,4
rivière,745,1
ongoing,746,4
thickness,747,2
example,748,32
sure,749,20
weaken,750,3
entirely,751,7
entorhinal,752,1
olfactory,753,1
usually,754,12
skunk,755,1
detection,756,2
insight,757,11
scientist,758,13
correspond,759,1
regeneration,760,2
aroma,761,3
sample,762,7
rewire,763,3
transmitter,764,1
sensitivity,765,1
neighbor,766,3
recent,767,11
benefit,768,21
particularly,769,8
transplant,770,2
blend,771,2
bodybuilding,772,1
include,773,29
airborne,774,1
core,775,4
neural,776,6
plasticity,777,1
sophie,778,1
fuel,779,5
process,780,36
decline,781,3
urine,782,3
difference,783,13
question,784,28
hinge,785,1
70,786,5
accuracy,787,7
offer,788,11
neuron,789,8
citrus,790,1
sit,791,12
cue,792,3
enjoyment,793,1
food,794,14
strength,795,5
add,796,26
picture,797,9
muscle,798,7
undertake,799,2
certain,800,13
whiff,801,1
mixture,802,1
coax,803,1
fundamentally,804,2
great,805,34
sound,806,17
philosophical,807,1
indifferently,808,1
stimulate,809,5
child,810,10
explain,811,15
passive,812,5
transfer,813,6
separate,814,4
read,815,32
decrease,816,7
science,817,17
scienceforreal.substack.com,818,1
follow,819,36
newsletter,820,5
purpose,821,14
provide,822,30
📰,823,1
passionate,824,3
synergy,825,1
technology,826,15
kendra,827,1
explosion,828,1
survive,829,4
popular,830,12
handle,831,7
cheek,832,1
"www.verywellmind.com/phineas-gage-2795244#targettext=the%20rod%20penetrated%20gage's%20left,be%20seen%20by%20a%20doctor",833,1
gage,834,1
probably,835,15
fortunately,836,4
act,837,19
1,838,27
3,839,26
phineas,840,1
fill,841,6
suddenly,842,9
wonder,843,8
explosive,844,1
completely,845,10
particular,846,16
treatment,847,7
neuroscience,848,5
tragic,849,1
gun,850,1
skull,851,2
accident,852,1
afterward,853,2
vermont,854,1
16–17,855,1
pierce,856,1
alright,857,1
astonishing,858,1
interesting,859,17
astonish,860,1
lobe,861,2
verywell,862,1
left,863,4
famous,864,7
thinking,865,11
mean,866,31
yeah,867,4
hear,868,17
big,869,32
start,870,49
kind,871,23
research,872,26
powder,873,1
2–3,874,5
oct,875,1
neurology,876,2
sweet,877,4
go,878,54
par,879,2
rod,880,1
25,881,2
bibliography,882,1
occur,883,6
behavior,884,10
understand,885,25
railroad,886,2
decision,887,10
iron,888,3
phinea,889,1
answer,890,17
making,891,2
totally,892,1
cherry,893,1
head,894,16
boundary,895,3
claudia,896,1
maintain,897,13
employment,898,1
relationship,899,13
color,900,5
takeaway,901,8
call,902,25
attribute,903,9
student,904,8
widespread,905,1
struggle,906,17
cycle,907,8
emphasize,908,7
adhere,909,1
passively,910,2
force,911,8
developmental,912,3
solution,913,11
try,914,35
resist,915,3
suicide,916,6
focus,917,27
security,918,6
connection,919,10
phone,920,7
affected,921,1
hand,922,19
scientific,923,9
tackle,924,4
american,925,11
collection,926,6
income,927,6
honestly,928,2
triple,929,1
data,930,13
al,931,8
mood,932,5
disrupt,933,4
concern,934,6
educational,935,1
building,936,9
sleep,937,14
drug,938,11
doomscroll,939,1
quadruple,940,1
slur,941,1
author,942,29
fivefold,943,1
address,944,11
psychologist,945,4
conclusion,946,9
return,947,6
18-,948,1
society,949,8
surprising,950,5
feel,951,38
mentally,952,2
caregiver,953,1
logan,954,1
video,955,14
representative,956,1
incidence,957,2
racism,958,2
difficult,959,14
college,960,10
alcohol,961,1
hook,962,6
behavioral,963,4
connected,964,1
asian,965,2
teacher,966,2
phenomenon,967,6
unicef,968,1
media,969,3
deck,970,1
normal,971,12
canva,972,4
population,973,9
distress,974,2
toxic,975,5
secret,976,5
transition,977,6
interestingly,978,2
safety,979,5
actively,980,2
fear,981,19
aftermath,982,1
graduation,983,1
depressed,984,4
trauma,985,1
acute,986,2
april,987,3
disruption,988,4
jones,989,1
ettman,990,1
reporting,991,2
connect,992,13
consume,993,6
quarter,994,2
pro,995,2
dr,996,7
wait,997,11
excessive,998,5
fitness,999,2
senior,1000,5
august,1001,2
deadly,1002,2
cope,1003,2
march,1004,3
mid,1005,1
youth,1006,3
holman,1007,1
et,1008,8
lesson,1009,11
consider,1010,20
physical,1011,12
chat,1012,6
trouble,1013,5
clearly,1014,5
fight,1015,9
problem,1016,30
confront,1017,1
despite,1018,8
related,1019,5
certainly,1020,5
girlfriend,1021,1
instead,1022,35
62.9,1023,1
curriculum,1024,1
reasonable,1025,3
priority,1026,2
lisa,1027,1
detrimental,1028,2
parent,1029,6
respondent,1030,2
concentrating,1031,1
americans,1032,5
sensationalist,1033,1
disproportionately,1034,1
issue,1035,13
seriously,1036,6
wedding,1037,1
valid,1038,2
advance,1039,3
painful,1040,3
will,1041,15
addict,1042,1
routine,1043,9
wallis,1044,1
psychiatrist,1045,2
importance,1046,9
damour,1047,1
anti,1048,4
toll,1049,1
cdc,1050,5
miss,1051,11
traffic,1052,8
sell,1053,12
ambitious,1054,1
money,1055,22
edit,1056,8
fantasy,1057,3
list,1058,18
information,1059,19
pocket,1060,2
idea,1061,39
marketing,1062,13
chance,1063,13
strongly,1064,3
insurance,1065,3
to,1066,1
following,1067,5
hit,1068,9
approach,1069,15
principle,1070,3
preferably,1071,2
awesome,1072,6
writing,1073,29
leave,1074,23
worried,1075,3
cash,1076,3
dime,1077,1
effective,1078,16
feedback,1079,4
number,1080,21
value,1081,18
kenny,1082,1
course,1083,22
positive,1084,7
surf,1085,3
advocate,1086,5
cost,1087,16
ad,1088,6
speculation,1089,1
john,1090,4
shot,1091,3
hope,1092,18
buy,1093,19
budget,1094,2
eager,1095,4
promote,1096,12
valuable,1097,7
masterpiece,1098,1
blog,1099,15
blow,1100,8
clear,1101,18
bestselle,1102,2
bit,1103,17
